sample_id	group	cytokine	dosage	time
1	WT	IL23	low	t6
2	WT	IL23	low	t6
3	P1104A	IL23	low	t6
4	P1104A	IL23	low	t6
5	WT	IFNa	low	t6
6	WT	IFNa	low	t6
7	P1104A	IFNa	low	t6
8	P1104A	IFNa	low	t6
9	WT	IL10	low	t6
10	WT	IL10	low	t6
11	P1104A	IL10	low	t6
12	P1104A	IL10	low	t6
13	WT	IL23	high	t6
14	WT	IL23	high	t6
15	P1104A	IL23	high	t6
16	P1104A	IL23	high	t6
17	WT	IFNa	high	t6
18	WT	IFNa	high	t6
19	P1104A	IFNa	high	t6
20	P1104A	IFNa	high	t6
21	WT	IL10	high	t6
22	WT	IL10	high	t6
23	P1104A	IL10	high	t6
24	P1104A	IL10	high	t6
25	WT	IL23	low	t24
26	WT	IL23	low	t24
27	P1104A	IL23	low	t24
28	P1104A	IL23	low	t24
29	WT	IFNa	low	t24
30	WT	IFNa	low	t24
31	P1104A	IFNa	low	t24
32	P1104A	IFNa	low	t24
33	WT	IL10	low	t24
34	WT	IL10	low	t24
35	P1104A	IL10	low	t24
36	P1104A	IL10	low	t24
37	WT	IL23	high	t24
38	WT	IL23	high	t24
39	P1104A	IL23	high	t24
40	P1104A	IL23	high	t24
41	WT	IFNa	high	t24
42	WT	IFNa	high	t24
43	P1104A	IFNa	high	t24
44	P1104A	IFNa	high	t24
45	WT	IL10	high	t24
46	WT	IL10	high	t24
47	P1104A	IL10	high	t24
48	P1104A	IL10	high	t24
49	WT	none	none	t6
50	WT	none	none	t6
51	P1104A	none	none	t6
52	P1104A	none	none	t6
53	WT	none	none	t24
54	WT	none	none	t24
55	P1104A	none	none	t24
56	P1104A	none	none	t24
57	c3612	NA	NA	NA
58	c3612	NA	NA	NA
59	c1	NA	NA	NA
60	c1	NA	NA	NA
61	WTGLA	NA	NA	t0
62	KOGLA	NA	NA	t0
63	D231N	NA	NA	t0
64	R227Q	NA	NA	t0
65	WTGLA	NA	NA	t48
66	KOGLA	NA	NA	t48
67	D231N	NA	NA	t48
68	R227Q	NA	NA	t48
69	WTGLA	NA	NA	t0
70	KOGLA	NA	NA	t0
71	D231N	NA	NA	t0
72	R227Q	NA	NA	t0
73	WTGLA	NA	NA	t48
74	KOGLA	NA	NA	t48
75	D231N	NA	NA	t48
76	R227Q	NA	NA	t48
77	WTGLA	NA	NA	t96
78	D231N	NA	NA	t96
79	WTGLA	NA	NA	t96
80	D231N	NA	NA	t96
